"code","lastPrice","movementPercentage","close","open","high","low","volume","high52Week","low52Week","tradesValue","numberOfTrades","marketCap","totalBuyOrders","totalBuyVolume","totalSellOrders","totalSellVolume","buySellOrderRatio","buySellVolRatio","mktDepth","companyName","companyDesc","sector","industry","peRatio","eps","peGrowth","debtEquity","pbRatio","beta","dividendAmount","dividendYield","dpsCurrent"
"3DA","0.2","2.56","0.1950","0.21","0.21","0.18","451865","0.3450","0.0690","87167.566","48","85000000","41","1646493","26","843353","1.6","2","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        2     50377    0.195          2     127077       0.2
        1     47279     0.19          1      30000      0.21
        2    121621    0.185          4     131315      0.22
        8    217625     0.18          1      86250     0.225
        2    188108     0.17          1     100000      0.23
        2     55974    0.165          2     102415     0.235
        8    195084     0.16          2      23500      0.24
        2     26451    0.155          2      40416      0.25
        4     96660     0.15          4      36000     0.265
        4    192714     0.14          1      42105     0.275","AMAERO INTERNATIONAL LTD","Amaero International Ltd (3DA) was incorporated on 17th May 2019. The Company is recently incorporated so it has a limited operating history and due to the fact that it has incurred losses since its inception, it is not possible to evaluate its prospects based on past performance. The company helps in provision of end-to-end additive manufacturing solutions in terms of materials, equipment, and technology to its key clients in the Aviation Defence and Space sectors and the Tool and Die industry","Industrials","Capital Goods",,"-0.028",,"11.0","5.43","0.62",,,
"3DP","0.043","-4.44","0.0450","0.044","0.044","0.042","298993","0.2550","0.0370","12727.433","59","32000000","54","6446173","56","3651360","1","1.8","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1     76376    0.042          1       2000     0.043
        4    264390    0.041          1      60000     0.044
       11    595018     0.04          1     170800     0.046
        6   1277667    0.039          1      11069     0.047
        4    399071    0.038          1     182242     0.048
        3    182186    0.037          2     200000      0.05
        4    599000    0.036          4     292995     0.051
        3    445686    0.035          1      50000     0.053
        3    120000    0.034          2     172686     0.054
        3    208000    0.033          3     157000     0.055","POINTERRA LIMITED","Pointerra Limited (3DP) is an Australian company focused on the commercialization of its 3D geospatial data technology. Pointerra&#39;s technology solves problems in the digital asset management workflows and allows 3D datasets to be used without the need for performance computing. 3D data is processed and stored in the cloud for instant, on demand user access: anytime, anywhere, on any device ? providing actionable 3D information to power digital asset management solutions.","Information Technology","Software & Services",,"-0.007",,"-18.8","-19.57","1.16",,,
"3PL","1.21","-1.22","1.2250","1.21","1.21","1.21","4","1.3300","0.9600","4.84","1","337000000","5","19966","16","198965","0.3","0.1","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1      9000     1.06          1         23     1.195
        1      3000     1.04          1       2000       1.2
        3      7966      1.0          2      29980      1.21
                                      1        327     1.225
                                      2       6674      1.24
                                      1        439      1.25
                                      1      18000     1.285
                                      1        601      1.29
                                      1       7421       1.3
                                      1      10000      1.31","3P LEARNING LIMITED..","3P Learning Limited (3PL, formerly TPN) is a global leader in online education and adaptive and collaborative learning. The Group&#39;s main revenue generating activity is the worldwide sale of online educational programs via licence fees and the sale of these products are recognised over time within licence fees.","Consumer Discretionary","Consumer Services","43.75","0.028",,"0.8","1.69","0.91","1.8","2.41",
"4DS","0.089","0.00","0.0890","0.091","0.098","0.088","8455441","0.2150","0.0250","778086.869","354","156000000","158","23287043","168","12424213","0.9","1.9","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        2    205922    0.089          1      35555      0.09
        5    672672    0.088          1     150000     0.091
        5    422600    0.087          3     260038     0.092
        7    410349    0.086          3     178482     0.093
       10    770313    0.085          1      33211     0.094
        2    100001    0.084          1      10215     0.095
        1     60240    0.083          1     115000     0.096
        3    258535    0.082          1     100000     0.097
        5    545000    0.081          4     628518     0.098
       14   2033075     0.08          4     298651     0.099","4DS MEMORY LIMITED","4DS Memory Limited (4DS, formerly Fitzroy Resources Limited) with facilities located in Silicon Valley, is a semiconductor development company of non-volatile memory technology, pioneering Interface Switching ReRAM for next generation gigabyte storage in mobile and cloud. 4DS owns a patented IP portfolio, comprising 33 USA patents granted and 1 patent application, which have been developed in-house to create high-density Storage Class Memory. 4DS has a joint development agreement with Western Digital subsidiary HGST, a global storage leader, which accelerates the evolution of 4DS technology","Information Technology","Semiconductors & Semiconductor Equipment",,"-0.004",,"0.9","25.43","1.08",,,
"4DX","0.835","1.83","0.8200","0.825","0.84","0.815","1206929","1.2700","0.2900","994141.240","446","284000000","150","1115458","103","1739358","1.5","0.6","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1     10000    0.825          3      61987     0.835
        5     15397     0.82          3      51987      0.84
        1      1000    0.815          1      50000     0.845
        4     18612     0.81          1       3641      0.85
        5     42661    0.805          3      26141     0.855
       22    178361      0.8          3      26841      0.86
        8     56939    0.795          1       3641     0.865
       13    144398     0.79          3      20141      0.87
        2     16261    0.785          1       3641     0.875
       13     85887     0.78          3       9168      0.88","4DMEDICAL LIMITED","4DMedical Limited (4DX) is a medical research technology and development of a non-invasive respiratory imaging solution using four-dimensional imaging. This four-dimensional lung imaging technology utilizes proven, patented mathematical models and algorithms to convert X-ray scans into quantitative data to enhance the capacity of physicians to manage patients with respiratory diseases and diseases of the lung. The company is based in Melbourne, Australia and Los Angeles, USA.","Health Care","Health Care Equipment & Services",,"-0.105",,"7.2","3.96","0.83",,,
"5EA","0.25","4.17","0.2400","0.245","0.25","0.235","268415","1.6800","0.2250","64676.4580","88","74000000","18","892482","23","395251","0.8","2.3","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1      2122    0.245          3      17720      0.25
        1     67361     0.24          1       9888     0.255
        2     13082    0.235          4     118675      0.26
        3    111674     0.23          1       2000      0.27
        1    100000     0.22          1       1000     0.285
        1     14639    0.205          2      85000      0.29
        5    518752      0.2          1       2000     0.295
        1        52     0.19          1       3000     0.315
        1     30000     0.18          1      35841      0.32
        1     30000     0.15          1      17999     0.325","5E ADVANCED MATERIALS INC.","5E Advanced Materials Inc. (5EA) is a minerals exploration and production company focused on the development of its 100% owned Fort Cady Borate Project. . The business is based on large domestic boron and lithium resource, which is located in Southern California and designated as Critical Infrastructure by the Department of Homeland Security&#39;s Cybersecurity and Infrastructure Security Agency. ","Materials","Materials",,"-1.054",,"70.7","0.13","1.2",,,
"5GG","0.058","-10.77","0.0650","0.063","0.064","0.057","106918","0.2800","0.0440","6673.316","33","24000000","17","898512","32","1593105","0.5","0.6","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        2     52088    0.058          1      50000      0.06
        1      4941    0.057          1     106159     0.064
        1    110000    0.055          4      20959     0.065
        1     96153    0.052          1      20000      0.07
        1      4500    0.051          1     104687     0.074
        2     50000     0.05          1     101785     0.079
        1      2000    0.048          2     215625      0.08
        1     79830    0.046          2      13752     0.082
        2    123000    0.045          3      70136      0.09
        1     70000     0.04          1       6922     0.092","PENTANET LIMITED","Pentanet Limited (5GG) is a Perth-based telecommunications cloud gaming provider delivering next-generation internet services and online experiences to a growing number of subscribers. Pentanet is a growth-focused telco delivering high-speed internet to a growing number of subscribers by providing next-generation internet speeds. This is achieved through Pentanet&#39;s market-leading private wireless network, the largest in Perth, as well as reselling fixed-line services such as nbn and Opticomm.","Communication Services","Telecommunication Services",,"-0.025",,"20.2","0.78","0.72",,,
"88E","0.004","0.00","0.0040","0.004","0.0045","0.004","13971104","0.0140","0.0040","56509.4160","75","97000000","488","639757180","485","657860759","1","1","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
      325 318526942    0.004         67  176154298     0.005
       96 102606368    0.003         79   66888219     0.006
       43  70159313    0.002         67   51072170     0.007
       24 148464557    0.001         54   37479006     0.008
                                     26   20066990     0.009
                                     22   17431146      0.01
                                     14   18165191     0.011
                                     24   27835854     0.012
                                     15   55783960     0.013
                                     15   33731738     0.014","88 ENERGY LIMITED","88 Energy Limited (88E, formerly Tangiers Petroleum Limited) is an oil and gas exploration company which has exploration permits located in Alaska, North America. The major focus of the company is on Icewine project in Alaska. The company is the Operator across all of its portfolio of world class exploration and appraisal assets. 88 Energy&#39;s drilling programs maintain adherence to the strict environmental regulations that exist in the State of Alaska.","Energy","Energy",,"-0.004",,"0.0","0.56","1.2",,,
"8CO","0.064",,"0.0640","0.0","0.0","0.0","0","0.1000","0.0530","0.0","0","14000000","5","158506","18","831066","0.3","0.2","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1       506    0.061          1      25000     0.064
        1     18000    0.055          1      30000     0.068
        1     20000     0.05          1     100000     0.069
        1     50000    0.045          1      95000      0.07
        1     70000    0.041          1      36231     0.077
                                      1     133047      0.08
                                      2      42209     0.081
                                      1      65789     0.083
                                      1      16980     0.091
                                      1      85263     0.097","8COMMON LIMITED","8common Ltd (8CO) solutions deliver enterprise grade financial transaction processing for government entities and large enterprise businesses. 8common Expense8 platform is a pureplay provider of end-to-end travel expense management software, card application and management. The innovative software solutions improve organisation, productivity, incorporate company organisational policies and expense auditing to reduce fraud.","Information Technology","Software & Services",,"-0.009",,"0.0","4.71","1.22",,,
"8VI","0.086","2.38","0.0840","0.084","0.086","0.084","500","1.1000","0.0530","42.9","2","4000000","7","80770","4","17531","1.8","4.6","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1     18530    0.054          1       5931       0.1
        1     10500    0.053          1      10651     0.105
        1      6000     0.05          1         20      0.11
        1     22240    0.045          1        929      0.15
        2     13500     0.04                                
        1     10000    0.025","8VI HOLDINGS LIMITED","","Consumer Discretionary","Consumer Services",,"-0.257",,"170.3","1.15","2.0",,,
"92E","0.4","-5.88","0.4250","0.42","0.42","0.395","1453425","0.5200","0.2600","590198.2910","356","45000000","47","570726","77","1479520","0.6","0.4","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        2      2691      0.4          1      18290      0.41
        5     41487     0.39          1      17849     0.415
        4     74019    0.385          1       5000      0.43
        4     32100     0.38          1      14600     0.435
        3     31658    0.375          2      38938      0.44
        5     44472     0.37          4      36482      0.45
        1       300    0.365          1      10180     0.455
        2     25000     0.36          2      16800      0.46
        2      9929     0.35          1       1450     0.465
        2     25000    0.345          4      60500      0.47","92 ENERGY LIMITED","92 Energy Limited (92E) an Australian uranium exploration company searching for high-grade unconformity style uranium in the Athabasca Basin, Saskatchewan, Canada. It currently holds a 100% interest in the 92 Energy Claims and, subject to completion of the IsoEnergy Heads of Agreement, will hold an interest in 100% of the IsoEnergy Claims.","Energy","Energy",,"-0.101",,"0.7","7.54","1.16",,,
"A11","0.50","-2.91","0.5150","0.505","0.51","0.495","87299","0.7850","0.3400","43745.610","13","315000000","51","742288","35","919042","1.5","0.8","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        3     33720      0.5          1       7433     0.515
        2     17190    0.495          1      70435      0.52
        8    115900     0.49          1       5262      0.53
        1     20351    0.485          1     100000      0.55
        2    100000     0.48          1      40000     0.555
        2     51100     0.47          2      14277      0.56
        2     59833     0.46          3      23247      0.57
        6     30633     0.45          4      33896      0.58
        1      6700     0.44          1       1550      0.59
        2     19604     0.43          1       8900     0.595","ATLANTIC LITHIUM LIMITED","Atlantic Lithium Limited (A11) is a lithium-focused mineral exploration and development company with lithium assets in Ghana and Ivory Coast. The Company is focused on serving the growing electric vehicle market by producing lithium assets.","Materials","Materials",,"-0.02",,"0.0","10.38","0.87",,,
"A1G","0.03","-11.76","0.0340","0.031","0.031","0.03","68969","0.1100","0.0300","2122.739","5","6000000","5","418556","17","1621779","0.3","0.3","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        2    141938     0.03          1     350466     0.035
        1     50000    0.026          1      25200     0.036
        1    167736    0.025          1     250000     0.038
        1     58882    0.017          1     320000      0.04
                                      3      65693     0.042
                                      2     120000     0.043
                                      1     300000      0.05
                                      1      99366     0.053
                                      1          9     0.055
                                      1      17418     0.056","AFRICAN GOLD LTD.","African Gold Limited (A1G) is involved in the exploration and evaluation of mineral resources and pursuing various investment opportunities in the resources sector designed to add shareholder value by acquiring, exploring, evaluating and exploiting mineral resource project opportunities in Africa.","Materials","Materials",,"-0.016",,"0.0","0.47","0.9",,,
"A1M","0.335","1.52","0.3300","0.33","0.34","0.33","663017","0.5650","0.2650","220612.0385","159","153000000","36","692733","31","768349","1.2","0.9","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1      7237    0.335          1      50000      0.34
        1     25000    0.325          2      98503     0.345
        3     88000     0.32          1      25000      0.35
        4     42736    0.315          1      50000     0.355
        5     30958     0.31          1      31000      0.36
        4     21531    0.305          3      42742     0.365
        3     30250      0.3          1      50000      0.37
        4     20349     0.29          2      23700     0.375
        1     52632    0.285          2      71532      0.38
        2     60000     0.28          2      52203      0.39","AIC MINES LIMITED","AIC Mines Limited (A1M, formerly Intrepid Mines Limited) is in gold and copper exploration. The Company has two main projects, the Marymia gold and copper exploration project and the Lamil gold copper exploration project located in the northwest of Western Australia.","Materials","Materials",,"-0.011",,"1.8","0.99","0.9","75.0",,
"A1N","0.85","-9.57","0.9400","0.94","0.94","0.85","5222433","1.1100","0.7400","4596215.735","159","287000000","12","120442","11","208185","1.1","0.6","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        3     49880     0.85          1       6800     0.885
        2      2400     0.81          1       4000      0.92
        2     42500      0.8          2      49500      0.99
        1      4780     0.78          1      19071     0.995
        1      2817     0.74          4     125598       1.0
        2     16666     0.72          2       3216      1.01
        1      1399    0.715","ARN MEDIA LIMITED","ARN Media Limited (A1N, formerly HT&E Limited) is a media and entertainment company listed on the Australian Securities Exchange which operates audio and digital businesses in Australia as well as outdoor assets in Hong Kong.","Communication Services","Media & Entertainment","8.74","0.264",,"37.9","0.9","2.0","3.5","9.26",
"A2B","1.78","-1.11","1.8000","1.82","1.82","1.745","729488","1.8500","1.0200","1311549.8960","162","220000000","9","14919","13","64118","0.7","0.2","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1      3000      1.7          1      24065      1.78
        1       350    1.625          3      18584       1.8
        1      5000     1.57          1        451      1.82
        1       662     1.51          1       9466      1.87
        1      1500    1.505          1       4805       1.9
        1       200      1.5          1        523      1.91
        1      2857      1.4          1       2949     1.975
        1       400     1.25          1         97      1.98
        1       950     1.18          1       1000       2.0
                                      1       1500      2.09","A2B AUSTRALIA LIMITED","A2B Australia Limited (A2B, formerly Cabcharge Australia Limited) is an Australian company that provides technologies and payment solutions enabling the operation of personal transport services. A2B specializes in facilitating bookings, trips and payments. Currently the company operates in Australia, Europe and North America. A2B is a leader in the Australian personal transport sector with widely realized brands","Industrials","Transportation","8.2","0.219",,"18.0","1.94","0.61","5.0","2.78",
"A2M","4.02","0.25","4.0100","4.02","4.07","3.96","3068302","7.1400","3.7000","12291342.405","3673","2899000000","235","655735","297","790273","0.8","0.8","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        2      9726     4.01          1       7888      4.02
        5     24845      4.0          3      25078      4.03
        3     11091     3.99          2      13492      4.04
        4     29153     3.98          5      17835      4.05
        6     33190     3.97          3      12998      4.06
        7     33099     3.96          1       2436      4.07
       13     34243     3.95          2       2436      4.08
        4      2938     3.94          4      10879      4.09
        5     47236     3.93         10      15733       4.1
        3     29711     3.92          3       2686      4.11","THE A2 MILK COMPANY LIMITED","The A2 Milk Company Limited (A2M) is engaged in the sale of branded products in targeted markets made with milk from cows that produce milk naturally containing only the A2 protein type. The a2 Milk Company is a dairy nutritional&#39;s company, fuelled by its purpose to pioneer the future of dairy for good. The Company produces a portfolio of products made with milk from specially selected cows that naturally produce milk containing only the A2 beta casein protein type and no A1.","Consumer Staples","Food, Beverage & Tobacco","20.27","0.194","1.06","8.9","2.75","0.6",,,
"A3D","0.024","0.00","0.0240","0.024","0.024","0.024","175076","0.0410","0.0140","4201.824","6","7000000","23","3760511","50","3377525","0.5","1.1","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        3    780185    0.023          3     215776     0.024
        3    273272    0.022          1     200000     0.025
        3    245714    0.021          1      43429     0.026
        6    570000     0.02          3      84944     0.027
        3    663629    0.019          1     100000     0.028
        2    168888    0.018          2     119323     0.029
        1     58823    0.017          2     175500      0.03
        2   1000000    0.015          1     200000     0.031
                                      1      58823     0.033
                                      3     260005     0.035","AURORA LABS LIMITED","Aurora Labs Limited (A3D) is an Australian -based industrial technology and innovation company based in Perth that specializes in the development and commercialization of 3D metal printers, digital parts and their associated intellectual property","Industrials","Capital Goods",,"-0.014",,"4.5","4.07","0.67",,,
"A4N","0.875","-1.13","0.8850","0.885","0.885","0.86","680185","1.2500","0.5600","591114.7425","1502","826000000","45","730707","29","607746","1.6","1.2","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1     10000     0.87          1       5313     0.875
        1     10000     0.86          1       1200     0.885
        1      1500    0.855          1       3370      0.89
        5     91875     0.85          2      45722       0.9
        3      2990     0.84          1      10000      0.92
        1     20000    0.825          4      68610      0.95
        3     41870     0.82          1      40000      0.97
        1     20000    0.815          1       2000      0.98
        1     12345     0.81          1       7777     0.985
        1     20795    0.805          3      33217       1.0","ALPHA HPA LIMITED"," Alpha HPA Limited (A4N) is involved in proceeding the commercialization of its proprietary solvent extraction and refining technology to produce High Purity Alumina (HPA) for sale into the lithium-ion battery and LED battery markets. The Company intends to materialistic its technology through the delivery of its HPA First Project within the Gladstone State Development Area in Queensland, Australia.","Materials","Materials",,"-0.019",,"0.6","13.55","0.86",,,
